Record Info,Last Modified User,Last Modified Date,ID,Member Name,Primary Domain,Start Date,End Date,Funding Type,Status,Peer Reviewed?,Industry Grant?,Role,Short Title,Title,Application Summary,Grant Purpose,Area,Principal Investigator,Co-Investigators,Grant and/or Account #,Administered By,Funding Source,Project,Currency,Received Amount,Total Amount,Member Share,Monetary,Rpt,Hours Per Week,Personnel Paid,Rnw,Education Grant,Duplicate Reported,Other Details (doesn't print),Year
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1248,"Adams, Paul",Medicine,1986/01,1988/01,Grants,Funded,False,False,Co-Investigator,,Iron metabolism and hemochromatosis.,,,,Paul Adams,,,,Canadian Liver Foundation,,CAD = Canadian dollar,,"$25,457,397.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1249,"Adams, Paul",Medicine,1989,1992,Grants,Funded,False,False,Co-Investigator,,Isolation of Hepatic Ferritin Receptor.,,Operating,Research,Paul Adams,,,,Medical Research Council of Canada,Operating Grant,,,"$2,351,390.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1250,"Adams, Paul",Medicine,1988,1993,Grants,Funded,False,False,Co-Investigator,,Iron metabolism and hemochromatosis.,Career Scientist Personnel Award,,,Paul Adams,,,,Ministry of Health of Ontario,,,,"$16,447,885.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1253,"Adams, Paul",Medicine,1989/07,1990/07,Grants,Funded,False,False,Co-Investigator,,Mucosal iron in the control of iron absorption in a rat intestinal transplant model.,,,,,,,,Physicians Services Incorporated (PSI) Foundation,Research Grant (Grant DR),,,"$31,698,119.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:52 PM,1254,"Adams, Paul",Medicine,1989/04,,Grants,Funded,False,False,Co-Investigator,,,Equipment Grant,Equipment,Research,,,,,Ministry of Health of Ontario,,,,"$39,533,585.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1255,"Adams, Paul",Medicine,1990/07,,Grants,Funded,False,False,Co-Investigator,,Monocyte ferritin in hemochromatosis.,,Student Fellowship Grant,,Paul Adams,,,,Canadian Liver Foundation,Student Fellowship Grant,,,"$22,410,187.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1256,"Adams, Paul",Medicine,1992/08,1994/08,Grants,Funded,False,False,Co-Investigator,,Interferon therapy in the treatment of chronic viral hepatitis.,,,,,Ghent CN,,,Schering Canada (Ghent CN),,,,"$14,357,382.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1257,"Adams, Paul",Medicine,1992/09,1994/09,Grants,Funded,False,False,Co-Investigator,,Localization of the hemochromatosis gene - phase 1.,,,,,,,,PSI Foundation,,,,"$39,318,017.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:52 PM,1258,"Adams, Paul",Medicine,1992/12,1993/07,Grants,Funded,False,False,Co-Investigator,,Adrenergic response in cirrhosis.,,,,Paul Adams,"Bierbrier G, Feldman RD.",,,PSI Foundation,,,,"$27,859,413.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1259,"Adams, Paul",Medicine,1993/10,1995/10,Grants,Funded,False,False,Co-Investigator,,Iron Regulatory Factor in Hemochromatosis.,,,,Paul Adams,Flanagan PR,,,Canadian Liver Foundation,,,,"$6,969,280.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1260,"Adams, Paul",Medicine,1995/07,,Grants,Funded,False,False,Co-Investigator,,Localization of the hemochromatosis gene.,Detweiler Fellowship,,,,,,,Royal College of Physicians and Surgeons of Canada,,CND,,"$42,521,052.00",,,0,,,0,False,,,
,"Gould, Derrick",7/28/2011 3:01:32 PM,1261,"Adams, Paul",Medicine,1995/07,,Grants,Funded,False,False,Co-Investigator,,"International Scientific Exchange Award - ‘‘Localization of the hemochromatosis gene"".",,,,,,,,Medical Research Council of Canada / Centre National de la Recherche Scientifique,,,,"$19,579,022.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1262,"Adams, Paul",Medicine,1996/07,,Grants,Funded,False,False,Co-Investigator,,Natural history and response to therapy in persons with iron overload.,,,,Paul Adams,"Edwards C, Barton J",,,"Center for Disease Control - Atlanta, USA",,USD = United States dollar,,"$74,011,537.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1263,"Adams, Paul",Medicine,1996/07,,Grants,Funded,False,False,Co-Investigator,,Natural history and response to therapy in persons with iron overload.,,,,Paul Adams,"Edwards C, Barton J",,,"Center for Disease Control - Atlanta, USA",,USD = United States dollar,,"$551,492.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1264,"Adams, Paul",Medicine,1996/10,,Grants,Funded,False,False,Co-Investigator,,Blood donor screening for hereditary hemochromatosis.,,,,,,,,PSI Foundation,,,,"$39,479,918.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1265,"Adams, Paul",Medicine,1997/09,,Grants,Funded,False,False,Co-Investigator,,Prevalence of C282Y mutation in end-stage liver disease.,,,,,,,,PSI Foundation,,,,"$30,385,660.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1266,"Adams, Paul",Medicine,1998/03,,Grants,Funded,False,False,Co-Investigator,,Genotyping for hemochromatosis.,,,,,,,,Medical Research Council of Canada (MRC),,,,"$31,074,738.00",,,0,,,0,False,,,
Draft,"Adams, Paul",9/15/2015 3:08:41 PM,1268,"Adams, Paul",Medicine,1998/07,1998/09,Grants,Funded,False,False,Co-Investigator,,Nramp2 in hemochromatosis.,Summer student fellowship (J Hajek).,,,Paul Adams,J Hajek,,,Canadian Association of Gastroenterology,,,,"$18,006,589.00",,,0,,,0,False,False,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1269,"Adams, Paul",Medicine,1999/03,,Grants,Funded,False,False,Co-Investigator,,Psychosocial impact of genetic testing for hemochromatosis.,,,,,,,,Medical Research Council of Canada,,CND,,"$68,023,725.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1271,"Adams, Paul",Medicine,2000/02,,Grants,Funded,False,False,Principal Investigator,,HEmochromatosis and IRon overload Screening study (HEIRS)-NIH-NHLBI-HC-99-04.,"Total project $ US 34,000,000, UWO - $ US 2,476,874",,,Paul Adams,"Bethesda, MD",NHLBI-HC-99-04,,"NIH - National Heart, Lung and Blood Institute",,USD = United States dollar,,"$46,526,872.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1272,"Adams, Paul",Medicine,2000/09,,Grants,Funded,False,False,Co-Investigator,,Iron transport genes and proteins in hemochromatosis.,,,,Paul Adams,S Chakrabarti,,,Canadian Liver Foundation,,,,"$57,058,835.00",,,0,,,0,False,,,
Draft,"Adams, Paul",9/15/2015 3:08:07 PM,1275,"Adams, Paul",Medicine,2001/01,2004/01,Grants,Funded,False,False,Co-Investigator,,Utility assessment in Hepatitis C infection.,,,,Paul Marotta,"Paul Adams, P Marotta, B Feagan.",,,Canadian Institute of Health Research,,,,"$57,108,400.00","$40,000.00",,0,,,0,False,False,,
Draft,"Adams, Paul",9/15/2015 3:07:28 PM,1276,"Adams, Paul",Medicine,2001/08,2003/01,Grants,Funded,False,False,Co-Investigator,,Hemochromatosis patients as voluntary blood donors.,,,,Paul Adams,,,,Canadian Blood Services,,CND,,"$35,040,882.00",,,0,,,0,False,False,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1278,"Adams, Paul",Medicine,2001/10,,Grants,Funded,False,False,Co-Investigator,,"Ethical, Social and Legal Implications of Genetic testing for hemochromatosis.",Supplemental Award,,,,,,,"National Institute of Health (Bethesda, MD) – ELSI Branch – National Genetics Institute",,CND,,"$42,639,016.00",,,0,,,0,False,,,
Draft,"Adams, Paul",9/15/2015 3:06:10 PM,1281,"Adams, Paul",Medicine,2003/01,2005/01,Grants,Funded,False,False,Co-Investigator,,Hepcidin and hemochromatosis.,Fellowship Award (D Thorburn),,,Paul Adams,D Thorburn,,,Canadian Association for the Study of the Liver,,,,"$66,182,509.00",,,0,,,0,False,False,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1283,"Adams, Paul",Medicine,2003/09,,Grants,Funded,False,False,Co-Investigator,,Quantitation of liver iron concentration using MRI.,,,,Paul Adams,B Rutt,,,Canadian Liver Foundation,,,,"$62,558,577.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1285,"Adams, Paul",Medicine,2005/02,,Grants,Funded,False,False,Principal Investigator,,HEmochromatosis and IRon overload Screening study (HEIRS)-NIH-NHLBI-HC-99-04.,"Renewal extension - $US 203,918",,,Adams P.,,NHLBI-HC-99-04,,"NIH - National Heart, Lung and Blood Institute",,USD = United States dollar,,"$34,955,769.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:32 PM,1286,"Adams, Paul",Medicine,2006/02,,Grants,Funded,False,False,Co-Investigator,,HEmochromatosis and IRon overload Screening study (HEIRS)-NIH-NHLBI-HC-99-04.,"Renewal extension - $US 64,583",,,Paul Adams,,NHLBI-HC-99-04,,"NIH - National Heart, Lung and Blood Institute",,USD = United States dollar,,"$18,809,669.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1287,"Adams, Paul",Medicine,2006/01,2010/12,Grants,Funded,True,False,Co-Investigator,,"NIH – NHLBI/NIDDK (Bethesda, MD) – Iron Status: A Pathway Analysis in Multiple Ethnicities. (McLaren C, PI and the HEIRS Study Group, R01 HL083328-01A1).","$US 1,746,669 direct costs",,,Paul Adams,McLaren C,R01 HL083328-01A1,,NIH – NHLBI/NIDDK,Iron Status: A Pathway Analysis in Multiple Ethnic,USD = United States dollar,,"$66,688,179.00",,,0,,,0,False,,,
Draft,"Gould, Derrick",7/28/2011 3:01:14 PM,1288,"Adams, Paul",Medicine,2007/01,2010/06,Grants,Funded,False,False,Co-Investigator,,Perfusion and lipid imaging with a liver specific CT contrast agent to detect progression of cirrhosis to hepatocellular carcinoma.,,,,Paul Adams,"Lee T, Adams PC, Chakrabarti S.",,,Canadian Institute of Health Research (CIHR),,,,"$7,016,874.00",,,0,,,0,False,,,
,"Honsinger, Brenda",2/9/2011 2:38:08 PM,1292,"Borrie, Michael",Medicine,2006/12,2009/11,Clinical Trials,Funded,False,True,Principal Site Investigator,PF-04360365,"A Phase 1, Randomized, Placebo - Controlled, Double Blind, Dose - Escalation Study of the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics and Immunogenity of a Single Intravenous Dose of PF-04360365 (RN1219) in Adults with Mild to Moderate Alzheimer Disease. Protocol ID: A9951001.",,Clinical Trial,Research,Borrie MJ,Wells JL,,,Pfizer Canada Inc.,,CAD = Canadian dollar,,"$27,269,893.00",,,0,,,0,False,False,,
,"Honsinger, Brenda",2/9/2011 2:38:52 PM,1293,"Borrie, Michael",Medicine,2006/12,2011/01,Grants,Funded,True,False,Principal Site Investigator,,Utilizing High Field Magnetic Resonance Spectroscopy as a Biomarker for Mild Cognitive Impairment,,Operating,Research,Borrie MJ,Wells JL,,,Alzheimer Society of Canada,,CAD = Canadian dollar,,"$23,120,245.00",,,0,,,0,False,False,,
,"McCallum, Judy",11/26/2013 1:42:32 PM,1294,"Borrie, Michael",Medicine,2006/01,2010/12,Grants,Funded,True,False,Principal Site Investigator,ADNI-2,Alzheimer Disease Neuroimaging Initiative (ADNI),NIH funded,Operating,Research,Borrie MJ,Wells JL,,,ADNI - 024,,USD = United States dollar,,"$14,104,465.00",,,0,,,0,False,False,,
